Class,Precision,Recall/Sensitivity,Specificity,F1-Score,Accuracy
UA,0.9333333333333333,0.84,0.950920245398773,0.8842105263157894,0.9375
NUA,0.9318181818181818,0.9534883720930233,0.9666666666666667,0.942528735632184,0.9375
MIX,0.9466666666666667,0.9861111111111112,0.9924812030075187,0.9659863945578231,0.9375
Macro Average,0.9372727272727274,0.9265331610680448,0.9700227050243194,0.9309085521685988,0.9375
