Class,Precision,Recall/Sensitivity,Specificity,F1-Score,Accuracy
UA,0.9629629629629629,0.52,0.8674033149171271,0.6753246753246753,0.8701923076923077
NUA,0.8431372549019608,1.0,1.0,0.9148936170212766,0.8701923076923077
MIX,0.8734177215189873,0.9583333333333334,0.9767441860465116,0.913907284768212,0.8701923076923077
Macro Average,0.8931726464613036,0.8261111111111111,0.9480491669878796,0.8347085257047214,0.8701923076923077
