Class,Precision,Recall/Sensitivity,Specificity,F1-Score,Accuracy
UA,1.0,0.4,0.8404255319148937,0.5714285714285715,0.8461538461538461
NUA,0.8349514563106796,1.0,1.0,0.91005291005291,0.8461538461538461
MIX,0.8235294117647058,0.9722222222222222,0.983739837398374,0.89171974522293,0.8461538461538461
Macro Average,0.8861602893584619,0.7907407407407407,0.9413884564377559,0.7910670755681372,0.8461538461538461
