Class,Threshold,High_Risk_Count,True_Positive_Count
UA,0.0,208.0,50.0
UA,0.010101010101010102,205.0,50.0
UA,0.020202020202020204,202.0,50.0
UA,0.030303030303030304,200.0,50.0
UA,0.04040404040404041,199.0,50.0
UA,0.05050505050505051,194.0,50.0
UA,0.06060606060606061,192.0,50.0
UA,0.07070707070707072,189.0,50.0
UA,0.08080808080808081,185.0,50.0
UA,0.09090909090909091,184.0,50.0
UA,0.10101010101010102,179.0,50.0
UA,0.11111111111111112,172.0,50.0
UA,0.12121212121212122,171.0,50.0
UA,0.13131313131313133,162.0,50.0
UA,0.14141414141414144,153.0,50.0
UA,0.15151515151515152,144.0,50.0
UA,0.16161616161616163,138.0,50.0
UA,0.17171717171717174,130.0,50.0
UA,0.18181818181818182,126.0,50.0
UA,0.19191919191919193,126.0,50.0
UA,0.20202020202020204,122.0,50.0
UA,0.21212121212121213,118.0,50.0
UA,0.22222222222222224,111.0,50.0
UA,0.23232323232323235,104.0,49.0
UA,0.24242424242424243,100.0,49.0
UA,0.25252525252525254,94.0,49.0
UA,0.26262626262626265,91.0,49.0
UA,0.27272727272727276,82.0,49.0
UA,0.2828282828282829,73.0,48.0
UA,0.29292929292929293,70.0,48.0
UA,0.30303030303030304,68.0,47.0
UA,0.31313131313131315,63.0,46.0
UA,0.32323232323232326,57.0,46.0
UA,0.33333333333333337,54.0,44.0
UA,0.3434343434343435,47.0,41.0
UA,0.3535353535353536,40.0,37.0
UA,0.36363636363636365,34.0,32.0
UA,0.37373737373737376,31.0,29.0
UA,0.38383838383838387,29.0,27.0
UA,0.393939393939394,28.0,26.0
UA,0.4040404040404041,22.0,21.0
UA,0.4141414141414142,21.0,20.0
UA,0.42424242424242425,18.0,17.0
UA,0.43434343434343436,15.0,15.0
UA,0.4444444444444445,15.0,15.0
UA,0.4545454545454546,11.0,11.0
UA,0.4646464646464647,10.0,10.0
UA,0.4747474747474748,9.0,9.0
UA,0.48484848484848486,8.0,8.0
UA,0.494949494949495,6.0,6.0
UA,0.5050505050505051,5.0,5.0
UA,0.5151515151515152,5.0,5.0
