Class,FPR,TPR,AUC
UA,0.0,0.0,0.970632911392405
UA,0.0,0.02,0.970632911392405
UA,0.0,0.32,0.970632911392405
UA,0.006329113924050633,0.32,0.970632911392405
UA,0.006329113924050633,0.46,0.970632911392405
UA,0.012658227848101266,0.46,0.970632911392405
UA,0.012658227848101266,0.64,0.970632911392405
UA,0.0189873417721519,0.64,0.970632911392405
UA,0.0189873417721519,0.74,0.970632911392405
UA,0.02531645569620253,0.74,0.970632911392405
UA,0.02531645569620253,0.78,0.970632911392405
UA,0.03164556962025317,0.78,0.970632911392405
UA,0.03164556962025317,0.82,0.970632911392405
UA,0.04430379746835443,0.82,0.970632911392405
UA,0.04430379746835443,0.88,0.970632911392405
UA,0.06329113924050633,0.88,0.970632911392405
UA,0.06329113924050633,0.92,0.970632911392405
UA,0.12025316455696203,0.92,0.970632911392405
UA,0.12025316455696203,0.94,0.970632911392405
UA,0.13924050632911392,0.94,0.970632911392405
UA,0.13924050632911392,0.96,0.970632911392405
UA,0.2088607594936709,0.96,0.970632911392405
UA,0.2088607594936709,0.98,0.970632911392405
UA,0.37341772151898733,0.98,0.970632911392405
UA,0.37341772151898733,1.0,0.970632911392405
UA,1.0,1.0,0.970632911392405
NUA,0.0,0.0,0.9750285932138771
NUA,0.0,0.011627906976744186,0.9750285932138771
NUA,0.0,0.6744186046511628,0.9750285932138771
NUA,0.01639344262295082,0.6744186046511628,0.9750285932138771
NUA,0.01639344262295082,0.686046511627907,0.9750285932138771
NUA,0.02459016393442623,0.686046511627907,0.9750285932138771
NUA,0.02459016393442623,0.7558139534883721,0.9750285932138771
NUA,0.03278688524590164,0.7558139534883721,0.9750285932138771
NUA,0.03278688524590164,0.8372093023255814,0.9750285932138771
NUA,0.040983606557377046,0.8372093023255814,0.9750285932138771
NUA,0.040983606557377046,0.8837209302325582,0.9750285932138771
NUA,0.04918032786885246,0.8837209302325582,0.9750285932138771
NUA,0.04918032786885246,0.8953488372093024,0.9750285932138771
NUA,0.07377049180327869,0.8953488372093024,0.9750285932138771
NUA,0.07377049180327869,0.9069767441860465,0.9750285932138771
NUA,0.10655737704918032,0.9069767441860465,0.9750285932138771
NUA,0.10655737704918032,0.9186046511627907,0.9750285932138771
NUA,0.13114754098360656,0.9186046511627907,0.9750285932138771
NUA,0.13114754098360656,0.9302325581395349,0.9750285932138771
NUA,0.1557377049180328,0.9302325581395349,0.9750285932138771
NUA,0.1557377049180328,0.9418604651162791,0.9750285932138771
NUA,0.16393442622950818,0.9418604651162791,0.9750285932138771
NUA,0.16393442622950818,0.9534883720930233,0.9750285932138771
NUA,0.20491803278688525,0.9534883720930233,0.9750285932138771
NUA,0.20491803278688525,0.9651162790697675,0.9750285932138771
NUA,0.21311475409836064,0.9651162790697675,0.9750285932138771
NUA,0.21311475409836064,0.9767441860465116,0.9750285932138771
NUA,0.2459016393442623,0.9767441860465116,0.9750285932138771
NUA,0.2459016393442623,1.0,0.9750285932138771
NUA,1.0,1.0,0.9750285932138771
MIX,0.0,0.0,0.9523080065359477
MIX,0.0,0.013888888888888888,0.9523080065359477
MIX,0.0,0.5138888888888888,0.9523080065359477
MIX,0.007352941176470588,0.5138888888888888,0.9523080065359477
MIX,0.007352941176470588,0.5555555555555556,0.9523080065359477
MIX,0.014705882352941176,0.5555555555555556,0.9523080065359477
MIX,0.014705882352941176,0.5833333333333334,0.9523080065359477
MIX,0.022058823529411766,0.5833333333333334,0.9523080065359477
MIX,0.022058823529411766,0.6527777777777778,0.9523080065359477
MIX,0.029411764705882353,0.6527777777777778,0.9523080065359477
MIX,0.029411764705882353,0.6666666666666666,0.9523080065359477
MIX,0.03676470588235294,0.6666666666666666,0.9523080065359477
MIX,0.03676470588235294,0.6944444444444444,0.9523080065359477
MIX,0.04411764705882353,0.6944444444444444,0.9523080065359477
MIX,0.04411764705882353,0.7222222222222222,0.9523080065359477
MIX,0.051470588235294115,0.7222222222222222,0.9523080065359477
MIX,0.051470588235294115,0.7361111111111112,0.9523080065359477
MIX,0.058823529411764705,0.7361111111111112,0.9523080065359477
MIX,0.058823529411764705,0.7638888888888888,0.9523080065359477
MIX,0.0661764705882353,0.7638888888888888,0.9523080065359477
MIX,0.0661764705882353,0.7777777777777778,0.9523080065359477
MIX,0.07352941176470588,0.7777777777777778,0.9523080065359477
MIX,0.07352941176470588,0.7916666666666666,0.9523080065359477
MIX,0.08823529411764706,0.7916666666666666,0.9523080065359477
MIX,0.08823529411764706,0.8055555555555556,0.9523080065359477
MIX,0.09558823529411764,0.8055555555555556,0.9523080065359477
MIX,0.09558823529411764,0.8472222222222222,0.9523080065359477
MIX,0.10294117647058823,0.8472222222222222,0.9523080065359477
MIX,0.10294117647058823,0.8611111111111112,0.9523080065359477
MIX,0.11029411764705882,0.8611111111111112,0.9523080065359477
MIX,0.11029411764705882,0.9027777777777778,0.9523080065359477
MIX,0.125,0.9027777777777778,0.9523080065359477
MIX,0.125,0.9166666666666666,0.9523080065359477
MIX,0.20588235294117646,0.9166666666666666,0.9523080065359477
MIX,0.20588235294117646,0.9305555555555556,0.9523080065359477
MIX,0.22794117647058823,0.9305555555555556,0.9523080065359477
MIX,0.22794117647058823,0.9444444444444444,0.9523080065359477
MIX,0.23529411764705882,0.9444444444444444,0.9523080065359477
MIX,0.23529411764705882,0.9583333333333334,0.9523080065359477
MIX,0.3014705882352941,0.9583333333333334,0.9523080065359477
MIX,0.3014705882352941,0.9722222222222222,0.9523080065359477
MIX,0.33088235294117646,0.9722222222222222,0.9523080065359477
MIX,0.33088235294117646,0.9861111111111112,0.9523080065359477
MIX,0.5367647058823529,0.9861111111111112,0.9523080065359477
MIX,0.5367647058823529,1.0,0.9523080065359477
MIX,1.0,1.0,0.9523080065359477
Macro,0.0,0.5027691645133505,0.9678140417449462
Macro,0.006329113924050633,0.5494358311800173,0.9678140417449462
Macro,0.007352941176470588,0.5633247200689061,0.9678140417449462
Macro,0.012658227848101266,0.6233247200689062,0.9678140417449462
Macro,0.014705882352941176,0.6325839793281655,0.9678140417449462
Macro,0.01639344262295082,0.6364599483204135,0.9678140417449462
Macro,0.0189873417721519,0.6697932816537469,0.9678140417449462
Macro,0.022058823529411766,0.6929414298018949,0.9678140417449462
Macro,0.02459016393442623,0.7161972437553833,0.9678140417449462
Macro,0.02531645569620253,0.7295305770887167,0.9678140417449462
Macro,0.029411764705882353,0.7341602067183463,0.9678140417449462
Macro,0.03164556962025317,0.7474935400516795,0.9678140417449462
Macro,0.03278688524590164,0.7746253229974159,0.9678140417449462
Macro,0.03676470588235294,0.7838845822566753,0.9678140417449462
Macro,0.040983606557377046,0.7993884582256676,0.9678140417449462
