Class,Threshold,Net_Benefit
UA,0.0,0.2403846153846154
UA,0.010101010101010102,0.23278061224489796
UA,0.020202020202020204,0.22531720856463125
UA,0.030303030303030304,0.2178485576923077
UA,0.04040404040404041,0.21022267206477732
UA,0.05050505050505051,0.20355973813420622
UA,0.06060606060606061,0.19633995037220844
UA,0.07070707070707072,0.18953804347826086
UA,0.08080808080808081,0.18332628909551987
UA,0.09090909090909091,0.17596153846153845
UA,0.10101010101010102,0.1707000864304235
UA,0.11111111111111112,0.16706730769230768
UA,0.12121212121212122,0.16014588859416445
UA,0.13131313131313133,0.15898926654740608
UA,0.14141414141414144,0.1588235294117647
UA,0.15151515151515152,0.15968406593406592
UA,0.16161616161616163,0.15882761816496754
UA,0.17171717171717174,0.16064727954971858
UA,0.18181818181818182,0.15918803418803418
UA,0.19191919191919193,0.15360576923076924
UA,0.20202020202020204,0.15275073028237585
UA,0.21212121212121213,0.15236686390532544
UA,0.22222222222222224,0.1565934065934066
UA,0.23232323232323235,0.15555414979757082
UA,0.24242424242424243,0.1571153846153846
UA,0.25252525252525254,0.16248700623700624
UA,0.26262626262626265,0.16365911485774498
UA,0.27272727272727276,0.17608173076923075
UA,0.2828282828282829,0.1833694474539545
UA,0.29292929292929293,0.18695054945054945
UA,0.30303030303030304,0.18206521739130435
UA,0.31313131313131315,0.18389423076923075
UA,0.32323232323232326,0.19589552238805968
UA,0.33333333333333337,0.1875
UA,0.3434343434343435,0.1820266272189349
UA,0.3535353535353536,0.1699969951923077
UA,0.36363636363636365,0.14835164835164835
UA,0.37373737373737376,0.1336848635235732
UA,0.38383838383838387,0.12381778058007567
UA,0.393939393939394,0.11875
UA,0.4040404040404041,0.09770208604954368
UA,0.4141414141414142,0.09275530503978781
UA,0.42424242424242425,0.07818825910931174
UA,0.43434343434343436,0.07211538461538461
UA,0.4444444444444445,0.07211538461538461
UA,0.4545454545454546,0.052884615384615384
UA,0.4646464646464647,0.04807692307692308
UA,0.4747474747474748,0.04326923076923077
UA,0.48484848484848486,0.038461538461538464
UA,0.494949494949495,0.028846153846153848
UA,0.5050505050505051,0.02403846153846154
UA,0.5151515151515152,0.02403846153846154
UA,0.5252525252525253,0.019230769230769232
UA,0.5353535353535354,0.019230769230769232
UA,0.5454545454545455,0.019230769230769232
UA,0.5555555555555556,0.019230769230769232
UA,0.5656565656565657,0.019230769230769232
UA,0.5757575757575758,0.019230769230769232
UA,0.5858585858585859,0.014423076923076924
UA,0.595959595959596,0.009615384615384616
UA,0.6060606060606061,0.009615384615384616
UA,0.6161616161616162,0.009615384615384616
UA,0.6262626262626263,0.009615384615384616
UA,0.6363636363636365,0.009615384615384616
UA,0.6464646464646465,0.009615384615384616
UA,0.6565656565656566,0.009615384615384616
UA,0.6666666666666667,0.004807692307692308
UA,0.6767676767676768,0.004807692307692308
UA,0.686868686868687,0.004807692307692308
UA,0.696969696969697,0.0
UA,0.7070707070707072,0.0
UA,0.7171717171717172,0.0
UA,0.7272727272727273,0.0
UA,0.7373737373737375,0.0
UA,0.7474747474747475,0.0
UA,0.7575757575757577,0.0
UA,0.7676767676767677,0.0
UA,0.7777777777777778,0.0
UA,0.787878787878788,0.0
UA,0.797979797979798,0.0
UA,0.8080808080808082,0.0
UA,0.8181818181818182,0.0
UA,0.8282828282828284,0.0
UA,0.8383838383838385,0.0
UA,0.8484848484848485,0.0
UA,0.8585858585858587,0.0
UA,0.8686868686868687,0.0
UA,0.8787878787878789,0.0
UA,0.888888888888889,0.0
UA,0.8989898989898991,0.0
UA,0.9090909090909092,0.0
UA,0.9191919191919192,0.0
UA,0.9292929292929294,0.0
UA,0.9393939393939394,0.0
UA,0.9494949494949496,0.0
UA,0.9595959595959597,0.0
UA,0.9696969696969697,0.0
UA,0.9797979797979799,0.0
UA,0.98989898989899,0.0
UA,1.0,
NUA,0.0,0.41346153846153844
NUA,0.010101010101010102,0.4074764521193092
NUA,0.020202020202020204,0.40146708961141947
NUA,0.030303030303030304,0.39528245192307687
NUA,0.04040404040404041,0.38896761133603236
NUA,0.05050505050505051,0.38251841243862517
NUA,0.06060606060606061,0.3759305210918114
NUA,0.07070707070707072,0.3695652173913043
NUA,0.08080808080808081,0.3631656804733728
NUA,0.09090909090909091,0.35624999999999996
NUA,0.10101010101010102,0.34917891097666376
NUA,0.11111111111111112,0.34194711538461536
NUA,0.12121212121212122,0.3345490716180371
