Class,Threshold,High_Risk_Count,True_Positive_Count
UA,0.0,208.0,50.0
UA,0.010101010101010102,170.0,50.0
UA,0.020202020202020204,168.0,50.0
UA,0.030303030303030304,164.0,50.0
UA,0.04040404040404041,162.0,50.0
UA,0.05050505050505051,161.0,50.0
UA,0.06060606060606061,158.0,50.0
UA,0.07070707070707072,154.0,50.0
UA,0.08080808080808081,151.0,50.0
UA,0.09090909090909091,149.0,50.0
UA,0.10101010101010102,146.0,50.0
UA,0.11111111111111112,142.0,50.0
UA,0.12121212121212122,138.0,50.0
UA,0.13131313131313133,133.0,50.0
UA,0.14141414141414144,124.0,50.0
UA,0.15151515151515152,122.0,50.0
UA,0.16161616161616163,117.0,50.0
UA,0.17171717171717174,113.0,50.0
UA,0.18181818181818182,106.0,49.0
UA,0.19191919191919193,103.0,49.0
UA,0.20202020202020204,98.0,48.0
UA,0.21212121212121213,94.0,48.0
UA,0.22222222222222224,90.0,48.0
UA,0.23232323232323235,88.0,48.0
UA,0.24242424242424243,80.0,48.0
UA,0.25252525252525254,79.0,48.0
UA,0.26262626262626265,75.0,48.0
UA,0.27272727272727276,68.0,48.0
UA,0.2828282828282829,65.0,48.0
UA,0.29292929292929293,61.0,47.0
UA,0.30303030303030304,57.0,47.0
UA,0.31313131313131315,55.0,47.0
UA,0.32323232323232326,53.0,47.0
UA,0.33333333333333337,51.0,47.0
UA,0.3434343434343435,49.0,47.0
UA,0.3535353535353536,49.0,47.0
UA,0.36363636363636365,48.0,47.0
UA,0.37373737373737376,48.0,47.0
UA,0.38383838383838387,47.0,47.0
UA,0.393939393939394,47.0,47.0
UA,0.4040404040404041,47.0,47.0
UA,0.4141414141414142,45.0,45.0
UA,0.42424242424242425,45.0,45.0
UA,0.43434343434343436,45.0,45.0
UA,0.4444444444444445,42.0,42.0
UA,0.4545454545454546,38.0,38.0
UA,0.4646464646464647,38.0,38.0
UA,0.4747474747474748,36.0,36.0
UA,0.48484848484848486,35.0,35.0
UA,0.494949494949495,34.0,34.0
UA,0.5050505050505051,31.0,31.0
UA,0.5151515151515152,30.0,30.0
UA,0.5252525252525253,29.0,29.0
UA,0.5353535353535354,29.0,29.0
UA,0.5454545454545455,29.0,29.0
UA,0.5555555555555556,29.0,29.0
UA,0.5656565656565657,26.0,26.0
UA,0.5757575757575758,26.0,26.0
UA,0.5858585858585859,24.0,24.0
UA,0.595959595959596,24.0,24.0
UA,0.6060606060606061,23.0,23.0
UA,0.6161616161616162,21.0,21.0
UA,0.6262626262626263,21.0,21.0
UA,0.6363636363636365,20.0,20.0
UA,0.6464646464646465,20.0,20.0
UA,0.6565656565656566,19.0,19.0
UA,0.6666666666666667,19.0,19.0
UA,0.6767676767676768,19.0,19.0
UA,0.686868686868687,19.0,19.0
UA,0.696969696969697,19.0,19.0
UA,0.7070707070707072,19.0,19.0
UA,0.7171717171717172,19.0,19.0
UA,0.7272727272727273,19.0,19.0
UA,0.7373737373737375,17.0,17.0
UA,0.7474747474747475,17.0,17.0
UA,0.7575757575757577,16.0,16.0
UA,0.7676767676767677,15.0,15.0
UA,0.7777777777777778,15.0,15.0
UA,0.787878787878788,15.0,15.0
UA,0.797979797979798,14.0,14.0
UA,0.8080808080808082,14.0,14.0
UA,0.8181818181818182,13.0,13.0
UA,0.8282828282828284,13.0,13.0
UA,0.8383838383838385,12.0,12.0
UA,0.8484848484848485,11.0,11.0
UA,0.8585858585858587,11.0,11.0
UA,0.8686868686868687,10.0,10.0
UA,0.8787878787878789,10.0,10.0
UA,0.888888888888889,10.0,10.0
UA,0.8989898989898991,10.0,10.0
UA,0.9090909090909092,10.0,10.0
UA,0.9191919191919192,10.0,10.0
UA,0.9292929292929294,10.0,10.0
UA,0.9393939393939394,10.0,10.0
UA,0.9494949494949496,10.0,10.0
UA,0.9595959595959597,10.0,10.0
UA,0.9696969696969697,7.0,7.0
UA,0.9797979797979799,6.0,6.0
UA,0.98989898989899,6.0,6.0
UA,1.0,0.0,0.0
NUA,0.0,208.0,86.0
NUA,0.010101010101010102,192.0,86.0
NUA,0.020202020202020204,188.0,86.0
NUA,0.030303030303030304,187.0,86.0
NUA,0.04040404040404041,185.0,86.0
NUA,0.05050505050505051,185.0,86.0
NUA,0.06060606060606061,184.0,86.0
NUA,0.07070707070707072,181.0,86.0
NUA,0.08080808080808081,180.0,86.0
NUA,0.09090909090909091,179.0,86.0
NUA,0.10101010101010102,178.0,86.0
NUA,0.11111111111111112,177.0,86.0
NUA,0.12121212121212122,174.0,86.0
NUA,0.13131313131313133,173.0,86.0
NUA,0.14141414141414144,173.0,86.0
NUA,0.15151515151515152,170.0,86.0
NUA,0.16161616161616163,166.0,86.0
NUA,0.17171717171717174,163.0,86.0
NUA,0.18181818181818182,161.0,86.0
NUA,0.19191919191919193,157.0,86.0
NUA,0.20202020202020204,155.0,86.0
NUA,0.21212121212121213,154.0,86.0
NUA,0.22222222222222224,153.0,86.0
NUA,0.23232323232323235,150.0,86.0
NUA,0.24242424242424243,147.0,86.0
NUA,0.25252525252525254,144.0,86.0
NUA,0.26262626262626265,142.0,86.0
NUA,0.27272727272727276,139.0,86.0
NUA,0.2828282828282829,137.0,86.0
NUA,0.29292929292929293,137.0,86.0
NUA,0.30303030303030304,132.0,86.0
NUA,0.31313131313131315,127.0,86.0
NUA,0.32323232323232326,123.0,86.0
NUA,0.33333333333333337,118.0,86.0
NUA,0.3434343434343435,113.0,86.0
NUA,0.3535353535353536,108.0,86.0
NUA,0.36363636363636365,107.0,86.0
NUA,0.37373737373737376,103.0,84.0
NUA,0.38383838383838387,97.0,83.0
NUA,0.393939393939394,95.0,83.0
NUA,0.4040404040404041,92.0,81.0
NUA,0.4141414141414142,90.0,80.0
NUA,0.42424242424242425,83.0,78.0
NUA,0.43434343434343436,80.0,77.0
NUA,0.4444444444444445,78.0,75.0
NUA,0.4545454545454546,75.0,73.0
NUA,0.4646464646464647,75.0,73.0
NUA,0.4747474747474748,72.0,70.0
NUA,0.48484848484848486,71.0,69.0
NUA,0.494949494949495,69.0,68.0
NUA,0.5050505050505051,66.0,65.0
NUA,0.5151515151515152,63.0,62.0
NUA,0.5252525252525253,60.0,60.0
NUA,0.5353535353535354,58.0,58.0
NUA,0.5454545454545455,56.0,56.0
NUA,0.5555555555555556,56.0,56.0
NUA,0.5656565656565657,55.0,55.0
NUA,0.5757575757575758,53.0,53.0
NUA,0.5858585858585859,53.0,53.0
NUA,0.595959595959596,50.0,50.0
NUA,0.6060606060606061,49.0,49.0
NUA,0.6161616161616162,47.0,47.0
NUA,0.6262626262626263,47.0,47.0
NUA,0.6363636363636365,46.0,46.0
NUA,0.6464646464646465,43.0,43.0
NUA,0.6565656565656566,42.0,42.0
NUA,0.6666666666666667,41.0,41.0
NUA,0.6767676767676768,38.0,38.0
NUA,0.686868686868687,36.0,36.0
NUA,0.696969696969697,33.0,33.0
NUA,0.7070707070707072,32.0,32.0
NUA,0.7171717171717172,31.0,31.0
NUA,0.7272727272727273,31.0,31.0
NUA,0.7373737373737375,30.0,30.0
NUA,0.7474747474747475,29.0,29.0
NUA,0.7575757575757577,29.0,29.0
NUA,0.7676767676767677,27.0,27.0
NUA,0.7777777777777778,26.0,26.0
NUA,0.787878787878788,25.0,25.0
NUA,0.797979797979798,24.0,24.0
NUA,0.8080808080808082,23.0,23.0
NUA,0.8181818181818182,23.0,23.0
NUA,0.8282828282828284,23.0,23.0
NUA,0.8383838383838385,22.0,22.0
NUA,0.8484848484848485,20.0,20.0
NUA,0.8585858585858587,20.0,20.0
NUA,0.8686868686868687,19.0,19.0
NUA,0.8787878787878789,19.0,19.0
NUA,0.888888888888889,18.0,18.0
NUA,0.8989898989898991,18.0,18.0
NUA,0.9090909090909092,17.0,17.0
NUA,0.9191919191919192,16.0,16.0
NUA,0.9292929292929294,16.0,16.0
NUA,0.9393939393939394,15.0,15.0
NUA,0.9494949494949496,14.0,14.0
