Class,Threshold,Net_Benefit
UA,0.0,0.2403846153846154
UA,0.010101010101010102,0.23282967032967034
UA,0.020202020202020204,0.22521808088818399
UA,0.030303030303030304,0.21754807692307693
UA,0.04040404040404041,0.2098178137651822
UA,0.05050505050505051,0.20176963993453356
UA,0.06060606060606061,0.19385856079404468
UA,0.07070707070707072,0.185880016722408
UA,0.08080808080808081,0.17825443786982248
UA,0.09090909090909091,0.17115384615384616
UA,0.10101010101010102,0.16367761452031115
UA,0.11111111111111112,0.15504807692307693
UA,0.12121212121212122,0.14754641909814326
UA,0.13131313131313133,0.13528622540250446
UA,0.14141414141414144,0.12867647058823528
UA,0.15151515151515152,0.12053571428571427
UA,0.16161616161616163,0.11028730305838738
UA,0.17171717171717174,0.10717636022514072
UA,0.18181818181818182,0.10363247863247865
UA,0.19191919191919193,0.10174278846153847
UA,0.20202020202020204,0.10540408958130476
UA,0.21212121212121213,0.10780325443786982
UA,0.22222222222222224,0.11195054945054943
UA,0.23232323232323235,0.09760880566801616
UA,0.24242424242424243,0.10653846153846154
UA,0.25252525252525254,0.09654365904365904
UA,0.26262626262626265,0.09569283456269757
UA,0.27272727272727276,0.10396634615384615
UA,0.2828282828282829,0.11240520043336943
UA,0.29292929292929293,0.10885989010989011
UA,0.30303030303030304,0.11684782608695651
UA,0.31313131313131315,0.11835407239819004
UA,0.32323232323232326,0.10935706084959815
UA,0.33333333333333337,0.10817307692307693
UA,0.3434343434343435,0.10488165680473373
UA,0.3535353535353536,0.099609375
UA,0.36363636363636365,0.08516483516483517
UA,0.37373737373737376,0.0798697270471464
UA,0.38383838383838387,0.06494325346784363
UA,0.393939393939394,0.0658653846153846
UA,0.4040404040404041,0.05924054758800521
UA,0.4141414141414142,0.04326923076923077
UA,0.42424242424242425,0.038461538461538464
UA,0.43434343434343436,0.03365384615384615
UA,0.4444444444444445,0.028846153846153848
UA,0.4545454545454546,0.028846153846153848
UA,0.4646464646464647,0.028846153846153848
UA,0.4747474747474748,0.028846153846153848
UA,0.48484848484848486,0.02403846153846154
UA,0.494949494949495,0.02403846153846154
UA,0.5050505050505051,0.014423076923076924
UA,0.5151515151515152,0.009615384615384616
UA,0.5252525252525253,0.009615384615384616
UA,0.5353535353535354,0.009615384615384616
UA,0.5454545454545455,0.009615384615384616
UA,0.5555555555555556,0.009615384615384616
UA,0.5656565656565657,0.009615384615384616
UA,0.5757575757575758,0.009615384615384616
UA,0.5858585858585859,0.009615384615384616
UA,0.595959595959596,0.009615384615384616
UA,0.6060606060606061,0.004807692307692308
UA,0.6161616161616162,0.004807692307692308
UA,0.6262626262626263,0.004807692307692308
UA,0.6363636363636365,0.004807692307692308
UA,0.6464646464646465,0.004807692307692308
UA,0.6565656565656566,0.004807692307692308
UA,0.6666666666666667,0.004807692307692308
UA,0.6767676767676768,0.004807692307692308
UA,0.686868686868687,0.004807692307692308
UA,0.696969696969697,0.004807692307692308
UA,0.7070707070707072,0.004807692307692308
UA,0.7171717171717172,0.004807692307692308
UA,0.7272727272727273,0.004807692307692308
UA,0.7373737373737375,0.004807692307692308
UA,0.7474747474747475,0.004807692307692308
UA,0.7575757575757577,0.0
UA,0.7676767676767677,0.0
UA,0.7777777777777778,0.0
UA,0.787878787878788,0.0
UA,0.797979797979798,0.0
UA,0.8080808080808082,0.0
UA,0.8181818181818182,0.0
