Class,Recall,Precision,AP
UA,1.0,0.2403846153846154,0.7160956018367802
UA,1.0,0.24154589371980675,0.7160956018367802
UA,1.0,0.24271844660194175,0.7160956018367802
UA,1.0,0.24390243902439024,0.7160956018367802
UA,1.0,0.24509803921568626,0.7160956018367802
UA,1.0,0.24630541871921183,0.7160956018367802
UA,1.0,0.24752475247524752,0.7160956018367802
UA,1.0,0.24875621890547264,0.7160956018367802
UA,1.0,0.25,0.7160956018367802
UA,1.0,0.25125628140703515,0.7160956018367802
UA,1.0,0.25252525252525254,0.7160956018367802
UA,1.0,0.25380710659898476,0.7160956018367802
UA,1.0,0.25510204081632654,0.7160956018367802
UA,1.0,0.2564102564102564,0.7160956018367802
UA,1.0,0.25773195876288657,0.7160956018367802
UA,1.0,0.25906735751295334,0.7160956018367802
UA,1.0,0.2604166666666667,0.7160956018367802
UA,1.0,0.2617801047120419,0.7160956018367802
UA,1.0,0.2631578947368421,0.7160956018367802
UA,1.0,0.26455026455026454,0.7160956018367802
UA,1.0,0.26595744680851063,0.7160956018367802
UA,0.98,0.2620320855614973,0.7160956018367802
UA,0.98,0.26344086021505375,0.7160956018367802
UA,0.98,0.2648648648648649,0.7160956018367802
UA,0.98,0.266304347826087,0.7160956018367802
UA,0.98,0.2677595628415301,0.7160956018367802
UA,0.96,0.26373626373626374,0.7160956018367802
UA,0.96,0.26519337016574585,0.7160956018367802
UA,0.96,0.26666666666666666,0.7160956018367802
UA,0.96,0.2681564245810056,0.7160956018367802
UA,0.96,0.2696629213483146,0.7160956018367802
UA,0.96,0.2711864406779661,0.7160956018367802
UA,0.96,0.2727272727272727,0.7160956018367802
UA,0.96,0.2742857142857143,0.7160956018367802
UA,0.96,0.27586206896551724,0.7160956018367802
UA,0.96,0.2774566473988439,0.7160956018367802
UA,0.96,0.27906976744186046,0.7160956018367802
UA,0.96,0.2807017543859649,0.7160956018367802
UA,0.96,0.2823529411764706,0.7160956018367802
UA,0.96,0.28402366863905326,0.7160956018367802
UA,0.96,0.2857142857142857,0.7160956018367802
UA,0.96,0.2874251497005988,0.7160956018367802
UA,0.96,0.2891566265060241,0.7160956018367802
UA,0.96,0.2909090909090909,0.7160956018367802
UA,0.96,0.2926829268292683,0.7160956018367802
UA,0.96,0.294478527607362,0.7160956018367802
UA,0.96,0.2962962962962963,0.7160956018367802
UA,0.96,0.2981366459627329,0.7160956018367802
UA,0.96,0.3,0.7160956018367802
UA,0.96,0.3018867924528302,0.7160956018367802
UA,0.96,0.3037974683544304,0.7160956018367802
UA,0.96,0.3057324840764331,0.7160956018367802
UA,0.96,0.3076923076923077,0.7160956018367802
UA,0.96,0.3096774193548387,0.7160956018367802
UA,0.96,0.3116883116883117,0.7160956018367802
UA,0.96,0.3137254901960784,0.7160956018367802
UA,0.96,0.3157894736842105,0.7160956018367802
UA,0.96,0.31788079470198677,0.7160956018367802
UA,0.96,0.32,0.7160956018367802
UA,0.96,0.3221476510067114,0.7160956018367802
UA,0.96,0.32432432432432434,0.7160956018367802
UA,0.96,0.32653061224489793,0.7160956018367802
UA,0.96,0.3287671232876712,0.7160956018367802
UA,0.96,0.3310344827586207,0.7160956018367802
UA,0.96,0.3333333333333333,0.7160956018367802
