Class,Recall,Precision,AP
UA,1.0,0.2403846153846154,0.7096637569058737
UA,1.0,0.24154589371980675,0.7096637569058737
UA,1.0,0.24271844660194175,0.7096637569058737
UA,1.0,0.24390243902439024,0.7096637569058737
UA,1.0,0.24509803921568626,0.7096637569058737
UA,1.0,0.24630541871921183,0.7096637569058737
UA,1.0,0.24752475247524752,0.7096637569058737
UA,1.0,0.24875621890547264,0.7096637569058737
UA,1.0,0.25,0.7096637569058737
UA,1.0,0.25125628140703515,0.7096637569058737
UA,1.0,0.25252525252525254,0.7096637569058737
UA,1.0,0.25380710659898476,0.7096637569058737
UA,1.0,0.25510204081632654,0.7096637569058737
UA,1.0,0.2564102564102564,0.7096637569058737
UA,0.98,0.25257731958762886,0.7096637569058737
UA,0.98,0.2538860103626943,0.7096637569058737
UA,0.98,0.2552083333333333,0.7096637569058737
UA,0.98,0.25654450261780104,0.7096637569058737
UA,0.98,0.2578947368421053,0.7096637569058737
UA,0.98,0.25925925925925924,0.7096637569058737
UA,0.98,0.26063829787234044,0.7096637569058737
UA,0.98,0.2620320855614973,0.7096637569058737
UA,0.98,0.26344086021505375,0.7096637569058737
UA,0.98,0.2648648648648649,0.7096637569058737
UA,0.98,0.266304347826087,0.7096637569058737
UA,0.98,0.2677595628415301,0.7096637569058737
UA,0.98,0.2692307692307692,0.7096637569058737
UA,0.98,0.27071823204419887,0.7096637569058737
UA,0.98,0.2722222222222222,0.7096637569058737
UA,0.98,0.2737430167597765,0.7096637569058737
UA,0.98,0.2752808988764045,0.7096637569058737
UA,0.98,0.2768361581920904,0.7096637569058737
UA,0.98,0.2784090909090909,0.7096637569058737
UA,0.98,0.28,0.7096637569058737
UA,0.98,0.28160919540229884,0.7096637569058737
UA,0.98,0.2832369942196532,0.7096637569058737
UA,0.98,0.28488372093023256,0.7096637569058737
UA,0.98,0.28654970760233917,0.7096637569058737
UA,0.96,0.2823529411764706,0.7096637569058737
UA,0.96,0.28402366863905326,0.7096637569058737
UA,0.96,0.2857142857142857,0.7096637569058737
UA,0.96,0.2874251497005988,0.7096637569058737
UA,0.96,0.2891566265060241,0.7096637569058737
UA,0.96,0.2909090909090909,0.7096637569058737
UA,0.96,0.2926829268292683,0.7096637569058737
UA,0.96,0.294478527607362,0.7096637569058737
UA,0.96,0.2962962962962963,0.7096637569058737
UA,0.96,0.2981366459627329,0.7096637569058737
UA,0.96,0.3,0.7096637569058737
UA,0.94,0.29559748427672955,0.7096637569058737
UA,0.94,0.2974683544303797,0.7096637569058737
UA,0.94,0.29936305732484075,0.7096637569058737
UA,0.94,0.30128205128205127,0.7096637569058737
UA,0.94,0.3032258064516129,0.7096637569058737
UA,0.94,0.3051948051948052,0.7096637569058737
UA,0.94,0.30718954248366015,0.7096637569058737
UA,0.94,0.3092105263157895,0.7096637569058737
UA,0.94,0.31125827814569534,0.7096637569058737
UA,0.92,0.30666666666666664,0.7096637569058737
UA,0.92,0.3087248322147651,0.7096637569058737
UA,0.92,0.3108108108108108,0.7096637569058737
