Class,Precision,Recall/Sensitivity,Specificity,F1-Score,Accuracy
UA,0.9574468085106383,0.9,0.968944099378882,0.9278350515463918,0.9471153846153846
NUA,0.9247311827956989,1.0,1.0,0.9608938547486032,0.9471153846153846
MIX,0.9705882352941176,0.9166666666666666,0.9571428571428572,0.9428571428571428,0.9471153846153846
Macro Average,0.950922075533485,0.9388888888888888,0.9753623188405798,0.943862016384046,0.9471153846153846
