Class,Threshold,Net_Benefit
UA,0.0,0.2403846153846154
UA,0.010101010101010102,0.2327315541601256
UA,0.020202020202020204,0.22501982553528946
UA,0.030303030303030304,0.21724759615384615
UA,0.04040404040404041,0.2098178137651822
UA,0.05050505050505051,0.20253682487725042
UA,0.06060606060606061,0.19633995037220844
UA,0.07070707070707072,0.18990384615384615
UA,0.08080808080808081,0.18459425190194423
UA,0.09090909090909091,0.17740384615384616
UA,0.10101010101010102,0.1728608470181504
UA,0.11111111111111112,0.17067307692307693
UA,0.12121212121212122,0.16545092838196288
UA,0.13131313131313133,0.16189624329159213
UA,0.14141414141414144,0.1596153846153846
UA,0.15151515151515152,0.15710851648351648
UA,0.16161616161616163,0.156047265987025
UA,0.17171717171717174,0.1536702626641651
UA,0.18181818181818182,0.1527777777777778
UA,0.19191919191919193,0.15703125
UA,0.20202020202020204,0.15761927945472248
UA,0.21212121212121213,0.1640162721893491
UA,0.22222222222222224,0.16895604395604397
UA,0.23232323232323235,0.1642839068825911
UA,0.24242424242424243,0.16634615384615384
UA,0.25252525252525254,0.16735966735966734
UA,0.26262626262626265,0.16879610115911486
UA,0.27272727272727276,0.17067307692307693
UA,0.2828282828282829,0.1730092091007584
UA,0.29292929292929293,0.16339285714285715
UA,0.30303030303030304,0.16471571906354515
UA,0.31313131313131315,0.170743778280543
UA,0.32323232323232326,0.1752296211251435
UA,0.33333333333333337,0.17548076923076922
UA,0.3434343434343435,0.17655325443786982
UA,0.3535353535353536,0.17826021634615385
UA,0.36363636363636365,0.17788461538461536
UA,0.37373737373737376,0.17990074441687343
UA,0.38383838383838387,0.18032786885245902
UA,0.393939393939394,0.1733173076923077
UA,0.4040404040404041,0.16329856584093871
UA,0.4141414141414142,0.16967838196286472
UA,0.42424242424242425,0.1647267206477733
UA,0.43434343434343436,0.16457760989010992
UA,0.4444444444444445,0.1596153846153846
UA,0.4545454545454546,0.14983974358974358
UA,0.4646464646464647,0.14005805515239475
UA,0.4747474747474748,0.13026997041420119
UA,0.48484848484848486,0.11085972850678734
UA,0.494949494949495,0.1010576923076923
UA,0.5050505050505051,0.0912480376766091
UA,0.5151515151515152,0.08143028846153846
UA,0.5252525252525253,0.07641162029459901
UA,0.5353535353535354,0.0673076923076923
UA,0.5454545454545455,0.0673076923076923
UA,0.5555555555555556,0.0673076923076923
UA,0.5656565656565657,0.0625
UA,0.5757575757575758,0.0625
UA,0.5858585858585859,0.0625
UA,0.595959595959596,0.0625
UA,0.6060606060606061,0.0625
UA,0.6161616161616162,0.057692307692307696
UA,0.6262626262626263,0.057692307692307696
UA,0.6363636363636365,0.057692307692307696
UA,0.6464646464646465,0.04326923076923077
UA,0.6565656565656566,0.04326923076923077
UA,0.6666666666666667,0.028846153846153848
UA,0.6767676767676768,0.02403846153846154
UA,0.686868686868687,0.019230769230769232
UA,0.696969696969697,0.019230769230769232
UA,0.7070707070707072,0.019230769230769232
UA,0.7171717171717172,0.019230769230769232
UA,0.7272727272727273,0.019230769230769232
UA,0.7373737373737375,0.014423076923076924
UA,0.7474747474747475,0.014423076923076924
UA,0.7575757575757577,0.014423076923076924
UA,0.7676767676767677,0.014423076923076924
UA,0.7777777777777778,0.009615384615384616
UA,0.787878787878788,0.009615384615384616
UA,0.797979797979798,0.009615384615384616
UA,0.8080808080808082,0.009615384615384616
UA,0.8181818181818182,0.009615384615384616
UA,0.8282828282828284,0.009615384615384616
UA,0.8383838383838385,0.009615384615384616
UA,0.8484848484848485,0.009615384615384616
UA,0.8585858585858587,0.009615384615384616
UA,0.8686868686868687,0.004807692307692308
UA,0.8787878787878789,0.004807692307692308
UA,0.888888888888889,0.004807692307692308
UA,0.8989898989898991,0.004807692307692308
UA,0.9090909090909092,0.004807692307692308
UA,0.9191919191919192,0.004807692307692308
UA,0.9292929292929294,0.004807692307692308
UA,0.9393939393939394,0.004807692307692308
UA,0.9494949494949496,0.004807692307692308
UA,0.9595959595959597,0.004807692307692308
UA,0.9696969696969697,0.004807692307692308
UA,0.9797979797979799,0.0
UA,0.98989898989899,0.0
UA,1.0,
NUA,0.0,0.41346153846153844
NUA,0.010101010101010102,0.4075255102040816
NUA,0.020202020202020204,0.40146708961141947
NUA,0.030303030303030304,0.39528245192307687
NUA,0.04040404040404041,0.38896761133603236
NUA,0.05050505050505051,0.38251841243862517
NUA,0.06060606060606061,0.37655086848635233
NUA,0.07070707070707072,0.37066262541806017
NUA,0.08080808080808081,0.364010989010989
NUA,0.09090909090909091,0.3572115384615384
NUA,0.10101010101010102,0.3513396715643906
NUA,0.11111111111111112,0.344951923076923
NUA,0.12121212121212122,0.3391909814323607
NUA,0.13131313131313133,0.33497316636851515
NUA,0.14141414141414144,0.329524886877828
NUA,0.15151515151515152,0.32417582417582413
NUA,0.16161616161616163,0.3207831325301204
NUA,0.17171717171717174,0.3137898686679174
NUA,0.18181818181818182,0.3066239316239316
NUA,0.19191919191919193,0.3027043269230769
NUA,0.20202020202020204,0.3027020447906523
NUA,0.21212121212121213,0.3008505917159763
NUA,0.22222222222222224,0.298076923076923
NUA,0.23232323232323235,0.2922570850202429
NUA,0.24242424242424243,0.2901923076923077
NUA,0.25252525252525254,0.28202962577962576
NUA,0.26262626262626265,0.28055848261327715
NUA,0.27272727272727276,0.2848557692307692
NUA,0.2828282828282829,0.28629469122426865
NUA,0.29292929292929293,0.2923076923076923
NUA,0.30303030303030304,0.29034280936454854
NUA,0.31313131313131315,0.29164309954751133
NUA,0.32323232323232326,0.302597588978186
NUA,0.33333333333333337,0.3052884615384615
NUA,0.3434343434343435,0.30872781065088756
NUA,0.3535353535353536,0.3079176682692307
NUA,0.36363636363636365,0.31043956043956045
NUA,0.37373737373737376,0.29846464019851116
