Class,Precision,Recall/Sensitivity,Specificity,F1-Score,Accuracy
UA,1.0,0.94,0.9813664596273292,0.9690721649484536,0.9807692307692307
NUA,0.9883720930232558,0.9883720930232558,0.9918032786885246,0.9883720930232558,0.9807692307692307
MIX,0.96,1.0,1.0,0.9795918367346939,0.9807692307692307
Macro Average,0.9827906976744186,0.9761240310077519,0.9910565794386179,0.9790120315688012,0.9807692307692307
