Class,Precision,Recall/Sensitivity,Specificity,F1-Score,Accuracy
UA,0.9767441860465116,0.84,0.9515151515151515,0.9032258064516129,0.9519230769230769
NUA,0.9555555555555556,1.0,1.0,0.9772727272727273,0.9519230769230769
MIX,0.9333333333333333,0.9722222222222222,0.9849624060150376,0.9523809523809524,0.9519230769230769
Macro Average,0.955211024978467,0.9374074074074074,0.978825852510063,0.9442931620350975,0.9519230769230769
