Class,FPR,TPR,AUC
UA,0.0,0.0,0.970506329113924
UA,0.0,0.02,0.970506329113924
UA,0.0,0.56,0.970506329113924
UA,0.006329113924050633,0.56,0.970506329113924
UA,0.006329113924050633,0.66,0.970506329113924
UA,0.012658227848101266,0.66,0.970506329113924
UA,0.012658227848101266,0.68,0.970506329113924
UA,0.0189873417721519,0.68,0.970506329113924
UA,0.0189873417721519,0.72,0.970506329113924
UA,0.05063291139240506,0.72,0.970506329113924
UA,0.05063291139240506,0.76,0.970506329113924
UA,0.056962025316455694,0.76,0.970506329113924
UA,0.056962025316455694,0.82,0.970506329113924
UA,0.08227848101265822,0.82,0.970506329113924
UA,0.08227848101265822,0.86,0.970506329113924
UA,0.0949367088607595,0.86,0.970506329113924
UA,0.0949367088607595,0.88,0.970506329113924
UA,0.13291139240506328,0.88,0.970506329113924
UA,0.13291139240506328,0.9,0.970506329113924
UA,0.13924050632911392,0.9,0.970506329113924
UA,0.13924050632911392,0.92,0.970506329113924
UA,0.14556962025316456,0.92,0.970506329113924
UA,0.14556962025316456,0.98,0.970506329113924
UA,0.1518987341772152,0.98,0.970506329113924
UA,0.1518987341772152,1.0,0.970506329113924
UA,1.0,1.0,0.970506329113924
NUA,0.0,0.0,0.9316622188333968
NUA,0.0,0.011627906976744186,0.9316622188333968
NUA,0.0,0.20930232558139536,0.9316622188333968
NUA,0.00819672131147541,0.20930232558139536,0.9316622188333968
NUA,0.00819672131147541,0.4069767441860465,0.9316622188333968
NUA,0.03278688524590164,0.4069767441860465,0.9316622188333968
NUA,0.03278688524590164,0.5,0.9316622188333968
NUA,0.040983606557377046,0.5,0.9316622188333968
NUA,0.040983606557377046,0.5348837209302325,0.9316622188333968
NUA,0.04918032786885246,0.5348837209302325,0.9316622188333968
NUA,0.04918032786885246,0.627906976744186,0.9316622188333968
NUA,0.05737704918032787,0.627906976744186,0.9316622188333968
NUA,0.05737704918032787,0.6744186046511628,0.9316622188333968
NUA,0.06557377049180328,0.6744186046511628,0.9316622188333968
NUA,0.06557377049180328,0.7209302325581395,0.9316622188333968
NUA,0.07377049180327869,0.7209302325581395,0.9316622188333968
NUA,0.07377049180327869,0.7558139534883721,0.9316622188333968
NUA,0.09016393442622951,0.7558139534883721,0.9316622188333968
NUA,0.09016393442622951,0.8023255813953488,0.9316622188333968
NUA,0.13114754098360656,0.8023255813953488,0.9316622188333968
NUA,0.13114754098360656,0.813953488372093,0.9316622188333968
NUA,0.13934426229508196,0.813953488372093,0.9316622188333968
NUA,0.13934426229508196,0.8255813953488372,0.9316622188333968
NUA,0.16393442622950818,0.8255813953488372,0.9316622188333968
NUA,0.16393442622950818,0.8604651162790697,0.9316622188333968
NUA,0.1885245901639344,0.8604651162790697,0.9316622188333968
NUA,0.1885245901639344,0.9186046511627907,0.9316622188333968
NUA,0.20491803278688525,0.9186046511627907,0.9316622188333968
NUA,0.20491803278688525,0.9302325581395349,0.9316622188333968
NUA,0.21311475409836064,0.9302325581395349,0.9316622188333968
NUA,0.21311475409836064,0.9418604651162791,0.9316622188333968
NUA,0.2459016393442623,0.9418604651162791,0.9316622188333968
NUA,0.2459016393442623,0.9534883720930233,0.9316622188333968
NUA,0.2540983606557377,0.9534883720930233,0.9316622188333968
NUA,0.2540983606557377,0.9651162790697675,0.9316622188333968
NUA,0.26229508196721313,0.9651162790697675,0.9316622188333968
NUA,0.26229508196721313,0.9767441860465116,0.9316622188333968
NUA,0.5,0.9767441860465116,0.9316622188333968
NUA,0.5,1.0,0.9316622188333968
NUA,1.0,1.0,0.9316622188333968
MIX,0.0,0.0,0.8255718954248366
MIX,0.0,0.013888888888888888,0.8255718954248366
MIX,0.0,0.25,0.8255718954248366
MIX,0.007352941176470588,0.25,0.8255718954248366
MIX,0.007352941176470588,0.2916666666666667,0.8255718954248366
MIX,0.014705882352941176,0.2916666666666667,0.8255718954248366
MIX,0.014705882352941176,0.3055555555555556,0.8255718954248366
MIX,0.022058823529411766,0.3055555555555556,0.8255718954248366
MIX,0.022058823529411766,0.3333333333333333,0.8255718954248366
MIX,0.03676470588235294,0.3333333333333333,0.8255718954248366
MIX,0.03676470588235294,0.3611111111111111,0.8255718954248366
MIX,0.04411764705882353,0.3611111111111111,0.8255718954248366
MIX,0.04411764705882353,0.375,0.8255718954248366
MIX,0.051470588235294115,0.375,0.8255718954248366
