Class,Threshold,Net_Benefit
UA,0.0,0.2403846153846154
UA,0.010101010101010102,0.23263343799058087
UA,0.020202020202020204,0.22472244250594767
UA,0.030303030303030304,0.21664663461538464
UA,0.04040404040404041,0.2084008097165992
UA,0.05050505050505051,0.20023527004909983
UA,0.06060606060606061,0.19168734491315137
UA,0.07070707070707072,0.18368520066889632
UA,0.08080808080808081,0.17529585798816566
UA,0.09090909090909091,0.1668269230769231
UA,0.10101010101010102,0.15881590319792566
UA,0.11111111111111112,0.1502403846153846
UA,0.12121212121212122,0.14157824933687002
UA,0.13131313131313133,0.13282647584973167
UA,0.14141414141414144,0.1255656108597285
UA,0.15151515151515152,0.11761675824175824
UA,0.16161616161616163,0.11063484708063018
UA,0.17171717171717174,0.1048311444652908
UA,0.18181818181818182,0.09722222222222221
UA,0.19191919191919193,0.08966346153846155
UA,0.20202020202020204,0.08824245374878287
UA,0.21212121212121213,0.09282544378698221
UA,0.22222222222222224,0.09478021978021978
UA,0.23232323232323235,0.09343370445344129
UA,0.24242424242424243,0.09730769230769232
UA,0.25252525252525254,0.0990774428274428
UA,0.26262626262626265,0.10511064278187565
UA,0.27272727272727276,0.11237980769230768
UA,0.2828282828282829,0.13231310942578545
UA,0.29292929292929293,0.1447802197802198
UA,0.30303030303030304,0.15259197324414717
UA,0.31313131313131315,0.17024886877828055
UA,0.32323232323232326,0.1852755453501722
UA,0.33333333333333337,0.17067307692307693
UA,0.3434343434343435,0.15362426035502957
UA,0.3535353535353536,0.12980769230769232
UA,0.36363636363636365,0.09615384615384616
UA,0.37373737373737376,0.09134615384615384
UA,0.38383838383838387,0.08653846153846154
UA,0.393939393939394,0.0625
UA,0.4040404040404041,0.057692307692307696
UA,0.4141414141414142,0.052884615384615384
UA,0.42424242424242425,0.04326923076923077
UA,0.43434343434343436,0.03365384615384615
UA,0.4444444444444445,0.028846153846153848
UA,0.4545454545454546,0.028846153846153848
UA,0.4646464646464647,0.02403846153846154
UA,0.4747474747474748,0.02403846153846154
UA,0.48484848484848486,0.02403846153846154
UA,0.494949494949495,0.02403846153846154
UA,0.5050505050505051,0.019230769230769232
UA,0.5151515151515152,0.014423076923076924
UA,0.5252525252525253,0.014423076923076924
UA,0.5353535353535354,0.014423076923076924
UA,0.5454545454545455,0.014423076923076924
UA,0.5555555555555556,0.014423076923076924
UA,0.5656565656565657,0.014423076923076924
UA,0.5757575757575758,0.014423076923076924
UA,0.5858585858585859,0.014423076923076924
UA,0.595959595959596,0.014423076923076924
UA,0.6060606060606061,0.014423076923076924
UA,0.6161616161616162,0.014423076923076924
UA,0.6262626262626263,0.004807692307692308
UA,0.6363636363636365,0.004807692307692308
UA,0.6464646464646465,0.004807692307692308
UA,0.6565656565656566,0.004807692307692308
UA,0.6666666666666667,0.004807692307692308
UA,0.6767676767676768,0.0
UA,0.686868686868687,0.0
UA,0.696969696969697,0.0
UA,0.7070707070707072,0.0
UA,0.7171717171717172,0.0
UA,0.7272727272727273,0.0
UA,0.7373737373737375,0.0
UA,0.7474747474747475,0.0
UA,0.7575757575757577,0.0
UA,0.7676767676767677,0.0
UA,0.7777777777777778,0.0
UA,0.787878787878788,0.0
UA,0.797979797979798,0.0
UA,0.8080808080808082,0.0
UA,0.8181818181818182,0.0
UA,0.8282828282828284,0.0
UA,0.8383838383838385,0.0
UA,0.8484848484848485,0.0
UA,0.8585858585858587,0.0
UA,0.8686868686868687,0.0
UA,0.8787878787878789,0.0
UA,0.888888888888889,0.0
UA,0.8989898989898991,0.0
UA,0.9090909090909092,0.0
UA,0.9191919191919192,0.0
UA,0.9292929292929294,0.0
UA,0.9393939393939394,0.0
UA,0.9494949494949496,0.0
UA,0.9595959595959597,0.0
UA,0.9696969696969697,0.0
UA,0.9797979797979799,0.0
UA,0.98989898989899,0.0
UA,1.0,
NUA,0.0,0.41346153846153844
NUA,0.010101010101010102,0.4074764521193092
NUA,0.020202020202020204,0.4013679619349722
NUA,0.030303030303030304,0.3951322115384615
NUA,0.04040404040404041,0.3887651821862348
NUA,0.05050505050505051,0.38226268412438624
NUA,0.06060606060606061,0.3756203473945409
NUA,0.07070707070707072,0.36883361204013376
NUA,0.08080808080808081,0.3618977176669484
NUA,0.09090909090909091,0.3552884615384615
NUA,0.10101010101010102,0.3480985306828003
NUA,0.11111111111111112,0.3407451923076923
NUA,0.12121212121212122,0.33322281167108747
NUA,0.13131313131313133,0.32625223613595705
NUA,0.14141414141414144,0.3184389140271493
NUA,0.15151515151515152,0.31129807692307687
NUA,0.16161616161616163,0.3041010194624652
NUA,0.17171717171717174,0.29584896810506567
NUA,0.18181818181818182,0.28739316239316237
NUA,0.19191919191919193,0.2787259615384615
NUA,0.20202020202020204,0.2698393378773125
NUA,0.21212121212121213,0.2607248520710059
NUA,0.22222222222222224,0.25137362637362637
NUA,0.23232323232323235,0.24323127530364366
NUA,0.24242424242424243,0.2365384615384615
NUA,0.25252525252525254,0.22830041580041574
NUA,0.26262626262626265,0.21996838777660693
NUA,0.27272727272727276,0.21153846153846148
NUA,0.2828282828282829,0.21059046587215596
NUA,0.29292929292929293,0.20233516483516484
NUA,0.30303030303030304,0.20025083612040132
NUA,0.31313131313131315,0.20086255656108593
NUA,0.32323232323232326,0.21139494833524677
NUA,0.33333333333333337,0.26442307692307687
NUA,0.3434343434343435,0.3183431952662722
NUA,0.3535353535353536,0.3210637019230769
NUA,0.36363636363636365,0.2918956043956044
NUA,0.37373737373737376,0.2857475186104218
NUA,0.38383838383838387,0.25969419924337955
NUA,0.393939393939394,0.23774038461538463
NUA,0.4040404040404041,0.21121251629726207
NUA,0.4141414141414142,0.1883289124668435
NUA,0.42424242424242425,0.14549595141700405
NUA,0.43434343434343436,0.13092376373626374
NUA,0.4444444444444445,0.10192307692307692
NUA,0.4545454545454546,0.09695512820512821
NUA,0.4646464646464647,0.08717343976777939
NUA,0.4747474747474748,0.07211538461538461
NUA,0.48484848484848486,0.0625
NUA,0.494949494949495,0.052884615384615384
NUA,0.5050505050505051,0.04807692307692308
NUA,0.5151515151515152,0.038461538461538464
NUA,0.5252525252525253,0.03365384615384615
NUA,0.5353535353535354,0.028846153846153848
NUA,0.5454545454545455,0.02403846153846154
NUA,0.5555555555555556,0.02403846153846154
NUA,0.5656565656565657,0.02403846153846154
NUA,0.5757575757575758,0.019230769230769232
NUA,0.5858585858585859,0.009615384615384616
NUA,0.595959595959596,0.009615384615384616
NUA,0.6060606060606061,0.009615384615384616
NUA,0.6161616161616162,0.009615384615384616
NUA,0.6262626262626263,0.009615384615384616
NUA,0.6363636363636365,0.009615384615384616
NUA,0.6464646464646465,0.009615384615384616
NUA,0.6565656565656566,0.004807692307692308
NUA,0.6666666666666667,0.004807692307692308
NUA,0.6767676767676768,0.004807692307692308
NUA,0.686868686868687,0.0
NUA,0.696969696969697,0.0
NUA,0.7070707070707072,0.0
NUA,0.7171717171717172,0.0
NUA,0.7272727272727273,0.0
NUA,0.7373737373737375,0.0
NUA,0.7474747474747475,0.0
NUA,0.7575757575757577,0.0
NUA,0.7676767676767677,0.0
NUA,0.7777777777777778,0.0
NUA,0.787878787878788,0.0
NUA,0.797979797979798,0.0
NUA,0.8080808080808082,0.0
NUA,0.8181818181818182,0.0
NUA,0.8282828282828284,0.0
NUA,0.8383838383838385,0.0
NUA,0.8484848484848485,0.0
NUA,0.8585858585858587,0.0
NUA,0.8686868686868687,0.0
NUA,0.8787878787878789,0.0
NUA,0.888888888888889,0.0
NUA,0.8989898989898991,0.0
NUA,0.9090909090909092,0.0
NUA,0.9191919191919192,0.0
NUA,0.9292929292929294,0.0
NUA,0.9393939393939394,0.0
NUA,0.9494949494949496,0.0
NUA,0.9595959595959597,0.0
NUA,0.9696969696969697,0.0
NUA,0.9797979797979799,0.0
NUA,0.98989898989899,0.0
NUA,1.0,
MIX,0.0,0.34615384615384615
MIX,0.010101010101010102,0.33948194662480374
MIX,0.020202020202020204,0.3326724821570182
MIX,0.030303030303030304,0.32572115384615385
MIX,0.04040404040404041,0.3186234817813765
MIX,0.05050505050505051,0.3113747954173486
MIX,0.06060606060606061,0.303970223325062
MIX,0.07070707070707072,0.2964046822742475
MIX,0.08080808080808081,0.2886728655959425
MIX,0.09090909090909091,0.28076923076923077
MIX,0.10101010101010102,0.2726879861711322
MIX,0.11111111111111112,0.26442307692307687
MIX,0.12121212121212122,0.25596816976127323
