Class,Precision,Recall/Sensitivity,Specificity,F1-Score,Accuracy
UA,0.8297872340425532,0.78,0.9316770186335404,0.8041237113402062,0.8942307692307693
NUA,0.9130434782608695,0.9767441860465116,0.9827586206896551,0.9438202247191011,0.8942307692307693
MIX,0.9130434782608695,0.875,0.935251798561151,0.8936170212765957,0.8942307692307693
Macro Average,0.8852913968547641,0.877248062015504,0.9498958126281155,0.8805203191119677,0.8942307692307693
